moi.gov.sa,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
movistar.com.ar,"HTTPSConnectionPool(host='movistar.com.ar', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))","HTTPSConnectionPool(host='movistar.com.ar', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))"
movistarplus.es,"HTTPSConnectionPool(host='movistarplus.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'movistarplus.es' doesn't match either of '*.dof6.com', 'dof6.com'"")))","HTTPSConnectionPool(host='www.movistar.es', port=443): Read timed out. (read timeout=2)"
mozaweb.com,"HTTPSConnectionPool(host='www.mozaweb.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.mozaweb.com', port=443): Read timed out. (read timeout=2)"
mozaweb.hu,"HTTPSConnectionPool(host='www.mozaweb.hu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.mozaweb.hu', port=443): Read timed out. (read timeout=2)"
mp3kurt.net,"HTTPSConnectionPool(host='mp3kurt.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)')))","HTTPConnectionPool(host='mp3kurt.net', port=80): Read timed out. (read timeout=2)"
mp3mob.net,"HTTPSConnectionPool(host='mp3mob.net', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='mp3mob.net', port=443): Read timed out. (read timeout=2)"
mrdiy.com.my,"HTTPSConnectionPool(host='www.mrdiy.com.my', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.mrdiy.com.my', port=443): Read timed out. (read timeout=2)"
mrrb.bg,"HTTPSConnectionPool(host='www.mrrb.bg', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='mrrb.bg', port=80): Read timed out. (read timeout=2)"
ms.ro,"HTTPSConnectionPool(host='ms.ro', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb65f653be0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='ms.ro', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb6638ba460>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
mscbs.gob.es,"HTTPSConnectionPool(host='mscbs.gob.es', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb667fe08b0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='mscbs.gob.es', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb668834f70>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
msp.gob.ec,"HTTPSConnectionPool(host='msp.gob.ec', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb664fa6580>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='msp.gob.ec', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb669a5b340>: Failed to establish a new connection: [Errno 111] Connection refused'))"
mspas.gob.gt,"HTTPSConnectionPool(host='mspas.gob.gt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='mspas.gob.gt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
msudrf.ru,"HTTPSConnectionPool(host='msudrf.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPConnectionPool(host='msudrf.ru', port=80): Read timed out. (read timeout=2)"
mt.gov.vn,"HTTPSConnectionPool(host='mt.gov.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='mt.gov.vn', port=443): Read timed out. (read timeout=2)"
mtroos.com,"HTTPSConnectionPool(host='mtroos.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='mtroos.com', port=443): Read timed out. (read timeout=2)"
mufg.jp,"HTTPSConnectionPool(host='mufg.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb6687422e0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='mufg.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb65f502a90>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
multicoisas.com.br,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
murciasalud.es,"HTTPSConnectionPool(host='murciasalud.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'murciasalud.es' doesn't match 'www.murciasalud.es'"")))","HTTPConnectionPool(host='www.murciasalud.es', port=80): Read timed out. (read timeout=2)"
musor.tv,Exceeded 30 redirects.,Exceeded 30 redirects.
muycomputer.com,"HTTPSConnectionPool(host='www.muycomputer.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.muycomputer.com', port=443): Read timed out. (read timeout=2)"
muzika.hr,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
muzikbahcesi.com,"HTTPSConnectionPool(host='muzikbahcesi.com', port=443): Read timed out.","HTTPSConnectionPool(host='muzikbahcesi.com', port=443): Read timed out."
mvb.lt,"HTTPSConnectionPool(host='mvb.lt', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb65f5c9250>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='mvb.lt', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb668e7b5b0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
mvep.hr,"HTTPSConnectionPool(host='mvep.hr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb662881a00>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='mvep.hr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb667a09a90>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
mxplayer.in,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
my.gov.sa,"HTTPSConnectionPool(host='www.my.gov.sa', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.my.gov.sa', port=443): Read timed out."
