dimensioneotticadiabbattista.it,"HTTPSConnectionPool(host='dimensioneotticadiabbattista.it', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='dimensioneotticadiabbattista.it', port=80): Read timed out. (read timeout=2)"
dinero.com.sv,"HTTPSConnectionPool(host='www.dinero.com.sv', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.dinero.com.sv', port=443): Read timed out. (read timeout=2)"
dioezese-linz.at,"HTTPSConnectionPool(host='dioezese-linz.at', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1129)')))","HTTPSConnectionPool(host='dioezese-linz.at', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1129)')))"
diplomeo.com,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
districomp.com.uy,"HTTPSConnectionPool(host='districomp.com.uy', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.districomp.com.uy', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))"
ditp.go.th,"HTTPSConnectionPool(host='ditp.go.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='ditp.go.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
div.bg,"HTTPSConnectionPool(host='div.bg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='div.bg', port=443): Read timed out. (read timeout=2)"
diva-portal.se,"HTTPSConnectionPool(host='diva-portal.se', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51c9647a60>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='diva-portal.se', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51caf2cbb0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
diyinspirenow.com,"HTTPSConnectionPool(host='www.diyinspirenow.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.diyinspirenow.com', port=443): Read timed out. (read timeout=2)"
dizionariocontestuale.com,"HTTPSConnectionPool(host='dizionariocontestuale.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f51d1681670>, 'Connection to dizionariocontestuale.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='dizionariocontestuale.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f51c9521a60>, 'Connection to dizionariocontestuale.com timed out. (connect timeout=2)'))"
