prakardproperty.com,"HTTPSConnectionPool(host='prakardproperty.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='prakardproperty.com', port=80): Read timed out. (read timeout=2)"
prof.lv,"HTTPSConnectionPool(host='prof.lv', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='prof.lv', port=443): Read timed out. (read timeout=2)"
promenad.hu,"HTTPSConnectionPool(host='www.promenad.hu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.promenad.hu', port=443): Read timed out. (read timeout=2)"
promenadanovisad.rs,"HTTPSConnectionPool(host='promenadanovisad.rs', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='promenadanovisad.rs', port=80): Read timed out. (read timeout=2)"
promerica.fi.cr,"HTTPSConnectionPool(host='promerica.fi.cr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa68c00a700>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='promerica.fi.cr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa691d78cd0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
promodirecta.com.ar,"HTTPSConnectionPool(host='promodirecta.com.ar', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)')))","HTTPConnectionPool(host='www.promodirecta.com.ar', port=80): Read timed out. (read timeout=2)"
propisi.com,"HTTPSConnectionPool(host='propisi.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPConnectionPool(host='propisi.com', port=80): Read timed out. (read timeout=2)"
proshareng.com,"HTTPSConnectionPool(host='www.proshareng.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.proshareng.com', port=443): Read timed out. (read timeout=2)"
protexin.hu,Exceeded 30 redirects.,Exceeded 30 redirects.
protis.hr,"HTTPSConnectionPool(host='www.protis.hr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.protis.hr', port=443): Read timed out. (read timeout=2)"
protoporia.gr,"HTTPSConnectionPool(host='protoporia.gr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'protoporia.gr' doesn't match 'www.protoporia.gr'"")))",Exceeded 30 redirects.
