917, 83, 82, 0
914, 86, 104, 0
924, 76, 101, 0
918, 82, 115, 0
920, 80, 97, 0
896, 104, 119, 0
928, 72, 131, 0
923, 77, 102, 0
919, 81, 144, 0
930, 70, 85, 0
942, 58, 105, 0
930, 70, 93, 0
925, 75, 123, 0
921, 79, 118, 0
927, 73, 124, 0
931, 69, 86, 0
947, 53, 105, 0
918, 82, 80, 0
893, 107, 97, 0
932, 68, 106, 0
938, 62, 92, 0
914, 86, 105, 0
930, 70, 109, 0
916, 84, 103, 0
932, 68, 124, 0
898, 102, 114, 0
944, 56, 98, 0
930, 70, 91, 0
931, 69, 109, 0
904, 96, 147, 0
873, 127, 108, 0
944, 56, 112, 0
929, 71, 133, 0
129, 9, 18, 0
