003ms.ru,UTF-8,ascii,ascii
01.ee,utf-8,utf-8,utf_8
011info.com,UTF-8,utf-8,utf_8
013info.rs,utf-8,utf-8,utf_8
01basma.com,UTF-8,Windows-1254,utf_8
01net.com,utf-8,utf-8,utf_8
01portal.hr,UTF-8,utf-8,utf_8
021.rs,UTF-8,utf-8,utf_8
025.rs,UTF-8,utf-8,utf_8
032.ua,UTF-8,utf-8,utf_8
034portal.hr,,utf-8,utf_8
037hdmovie.com,UTF-8,utf-8,utf_8
0404.co.il,UTF-8,utf-8,utf_8
048.ua,UTF-8,utf-8,utf_8
056.ua,UTF-8,utf-8,utf_8
057.ua,UTF-8,utf-8,utf_8
057info.hr,,utf-8,utf_8
061.ua,UTF-8,utf-8,utf_8
1-2-3-ubytovanie.sk,UTF-8,utf-8,utf_8
1-2-do.com,UTF-8,utf-8,utf_8
1-day.co.nz,,utf-8,
1-stop-service-shop.com,utf-8,ascii,big5
10-4.dk,UTF-8,utf-8,utf_8
1000.menu,utf-8,utf-8,utf_8
1000kitap.com,UTF-8,utf-8,utf_8
1000ps.at,utf-8,utf-8,utf_8
1000things.at,UTF-8,utf-8,utf_8
1001eda.com,UTF-8,utf-8,utf_8
1001euro.nl,utf-8,ascii,ascii
1001recepti.com,,windows-1251,cp1251
100comments.com,UTF-8,utf-8,utf_8
100noticias.com.ni,utf-8,Windows-1252,utf_8
100posto.hr,,utf-8,gb18030
100proadru.cz,UTF-8,ascii,ascii
100realty.ua,UTF-8,utf-8,utf_8
100skelbimu.lt,UTF-8,utf-8,utf_8
100sp.ru,UTF-8,Windows-1254,utf_8
101.ru,utf-8,utf-8,utf_8
101hotels.com,UTF-8,utf-8,utf_8
102nueve.com,UTF-8,utf-8,utf_8
103.by,utf-8,utf-8,utf_8
1075.fm,UTF-8,ascii,ascii
10best.com,UTF-8,ascii,ascii
10bis.co.il,utf-8,ascii,ascii
10dakot.co.il,,Windows-1254,utf_8
10ejemplos.com,UTF-8,utf-8,utf_8
10marifet.org,UTF-8,Windows-1254,utf_8
10minuteschool.com,utf-8,utf-8,utf_8
10steps.org,iso-8859-1,ascii,ascii
10te.bg,UTF-8,utf-8,utf_8
10toptest.nl,UTF-8,utf-8,utf_8
1112.com,UTF-8,utf-8,utf_8
1122.com.uy,UTF-8,utf-8,utf_8
