iaen.edu.ec,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
ijf.hr,"HTTPSConnectionPool(host='ijf.hr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f6899d0b6a0>, 'Connection to ijf.hr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='ijf.hr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f689707d070>, 'Connection to ijf.hr timed out. (connect timeout=2)'))"
ilce.edu.mx,"HTTPSConnectionPool(host='ilce.edu.mx', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'ilce.edu.mx' doesn't match either of '*.ilce.edu.mx', '*.ilceinternacional.org'"")))","HTTPConnectionPool(host='ilce.edu.mx', port=80): Read timed out. (read timeout=2)"
ilkha.com,"HTTPSConnectionPool(host='ilkha.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='ilkha.com', port=443): Read timed out. (read timeout=2)"
ilmangione.it,"HTTPSConnectionPool(host='ilmangione.it', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.ilmangione.it', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
ilmusosial.id,"HTTPSConnectionPool(host='ilmusosial.id', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f689a024100>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='ilmusosial.id', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6895e8bb50>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
ilpapirocartolibreria.it,"HTTPSConnectionPool(host='ilpapirocartolibreria.it', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='ilpapirocartolibreria.it', port=80): Read timed out. (read timeout=2)"
imamu.edu.sa,"HTTPSConnectionPool(host='imamu.edu.sa', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='imamu.edu.sa', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
imaret.com.tr,"HTTPSConnectionPool(host='www.imaret.com.tr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.imaret.com.tr', port=443): Read timed out. (read timeout=2)"
imf.org,"HTTPSConnectionPool(host='www.imf.org', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.imf.org', port=443): Read timed out. (read timeout=2)"
imge.com.tr,"HTTPSConnectionPool(host='www.imge.com.tr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.imge.com.tr', port=443): Read timed out. (read timeout=2)"
imged.pl,"HTTPSConnectionPool(host='imged.pl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f689b740670>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='imged.pl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f689a3623d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
imist.ma,"HTTPSConnectionPool(host='imist.ma', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f689b138f40>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))","HTTPConnectionPool(host='imist.ma', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f689bcaeaf0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
immoproxio.be,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
imoti.com,"HTTPSConnectionPool(host='imoti.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1129)')))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
